,Plain top-3 (no overlay),Top-3 + abs-mom overlay,Top-3 + overlay + band(4),Top-2 + overlay,Top-4 + overlay,Top-3 + overlay + band(5),SPY buy & hold,Equal-weight sectors
2017-12-08,2.0611164848017016,2.0173904406114858,2.021854131154233,1.9230135660654037,2.074215754290089,2.0853272517622274,2.423528010384745,2.3089929037392425
2017-12-11,2.0721552330350668,2.028195004704063,2.0299918254604674,1.9371918414342406,2.081177783308853,2.093720416947499,2.4308298847918994,2.3152744434078762
2017-12-12,2.0603278945471093,2.01661858009176,2.025208522499167,1.920442495174375,2.0775821617666805,2.088786949263092,2.4351197021206596,2.315371934502329
2017-12-13,2.0642339295856753,2.020441749624197,2.0186370666309355,1.9233158790523806,2.073915927848169,2.0820091922554917,2.4348457482818815,2.316546116467271
2017-12-14,2.0548512099988483,2.011258081965926,2.0125532176988954,1.9209017563922604,2.0634842190710585,2.0757343498827905,2.424896663352284,2.30703565504654
2017-12-15,2.069302280459361,2.0254025767669788,2.0287783618270065,1.9354749605725337,2.079021636426116,2.0924688584176887,2.4450891980463934,2.322282055990825
2017-12-18,2.0781265363944645,2.034039628433032,2.033636122791315,1.9336174666564843,2.0903755344625408,2.0974791216040027,2.4605946982916045,2.3335986599781178
2017-12-19,2.0607556179592135,2.0170372294641603,2.014554171110943,1.9104022525421052,2.0750712161317684,2.0777981202682767,2.4511447260019232,2.322496330163218
2017-12-20,2.0555935454954217,2.01198466901016,2.0080668951469223,1.90283561397699,2.0702517114567636,2.071107185868498,2.4498602683934494,2.320364974301568
2017-12-21,2.0488626696273533,2.0053965869035393,2.00502373702838,1.8899607797784246,2.069746617803431,2.0679684923009285,2.4549060898838206,2.3254084812719826
2017-12-22,2.0520975599443743,2.0085628498732,2.003593986467959,1.8907348079526707,2.0706586357840098,2.0664938568359226,2.4542637813491304,2.327013998785447
2017-12-26,2.0430176259189516,1.9996755442602754,1.993347302869399,1.878819397216282,2.062331859883882,2.055925493758185,2.4513282655062505,2.327983886135311
2017-12-27,2.0474243655370956,2.00398879605631,1.997469774028592,1.8836905332427778,2.0662059822844983,2.06017738380327,2.4525208736321074,2.330235361334688
2017-12-28,2.055345064314628,2.011741459292271,2.004824200503997,1.8903815386393796,2.07423112860917,2.067762691622429,2.4575670140442933,2.336574037630701
