,XLRE
2024-06-12,35.46828842163086
2024-06-13,35.64418411254883
2024-06-14,35.67196273803711
2024-06-17,35.48680114746094
2024-06-18,35.62567138671875
2024-06-20,35.53309631347656
2024-06-21,35.62567138671875
2024-06-24,35.866024017333984
2024-06-25,35.361000061035156
2024-06-26,35.31423568725586
2024-06-27,35.63221740722656
2024-06-28,35.92213439941406
2024-07-01,35.576107025146484
2024-07-02,35.72574234008789
2024-07-03,35.688331604003906
2024-07-05,35.81926345825195
2024-07-08,35.9034309387207
2024-07-09,35.912784576416016
2024-07-10,36.16529846191406
2024-07-11,37.128578186035156
2024-07-12,37.39979934692383
2024-07-15,37.55878829956055
2024-07-16,37.91417694091797
2024-07-17,38.25086212158203
2024-07-18,37.932884216308594
2024-07-19,37.8861198425293
2024-07-22,38.260215759277344
2024-07-23,38.194740295410156
2024-07-24,37.6710205078125
2024-07-25,37.465267181396484
2024-07-26,38.09186935424805
2024-07-29,38.33503341674805
2024-07-30,38.615596771240234
2024-07-31,38.522071838378906
2024-08-01,39.12062454223633
2024-08-02,39.148685455322266
2024-08-05,38.017051696777344
2024-08-06,38.858760833740234
2024-08-07,38.578189849853516
2024-08-08,38.905517578125
2024-08-09,39.10191345214844
2024-08-12,38.86811447143555
2024-08-13,39.13932418823242
2024-08-14,39.27960968017578
2024-08-15,39.167388916015625
2024-08-16,39.148685455322266
2024-08-19,39.38248062133789
2024-08-20,39.41989517211914
2024-08-21,39.55083084106445
2024-08-22,39.79397964477539
2024-08-23,40.56087875366211
2024-08-26,40.53281784057617
2024-08-27,40.63569259643555
2024-08-28,40.49540328979492
2024-08-29,40.336421966552734
2024-08-30,40.729217529296875
2024-09-03,40.82273483276367
2024-09-04,40.916259765625
2024-09-05,40.80403137207031
2024-09-06,40.80403137207031
2024-09-09,41.29035568237305
2024-09-10,42.01982879638672
2024-09-11,41.9076042175293
2024-09-12,41.98242950439453
2024-09-13,42.28169631958008
2024-09-16,42.421974182128906
2024-09-17,42.085296630859375
2024-09-18,41.96371078491211
2024-09-19,41.860836029052734
2024-09-20,41.7860221862793
2024-09-23,42.248443603515625
2024-09-24,42.248443603515625
2024-09-25,42.06949996948242
2024-09-26,41.65511703491211
2024-09-27,41.71162414550781
2024-09-30,42.06949996948242
2024-10-01,41.815223693847656
2024-10-02,41.6645393371582
2024-10-03,41.25956726074219
2024-10-04,40.986446380615234
2024-10-07,40.68507385253906
2024-10-08,40.80751419067383
2024-10-09,40.826351165771484
2024-10-10,40.4873046875
2024-10-11,40.90168762207031
2024-10-14,41.18422317504883
2024-10-15,41.702205657958984
2024-10-16,42.11659240722656
2024-10-17,41.843475341796875
2024-10-18,42.13542556762695
2024-10-21,41.268985748291016
2024-10-22,41.33491134643555
2024-10-23,41.73987579345703
2024-10-24,41.83405685424805
2024-10-25,41.50442886352539
2024-10-28,41.63628005981445
2024-10-29,41.25956726074219
2024-10-30,41.41025924682617
2024-10-31,40.68507385253906
2024-11-01,40.25185775756836
2024-11-04,40.703914642333984
2024-11-05,41.25956726074219
2024-11-06,40.157676696777344
2024-11-07,40.65682601928711
2024-11-08,41.35374450683594
2024-11-11,40.99586868286133
2024-11-12,40.477882385253906
2024-11-13,40.798091888427734
2024-11-14,40.43080139160156
2024-11-15,40.477882385253906
2024-11-18,40.83576965332031
2024-11-19,41.005287170410156
2024-11-20,40.939361572265625
2024-11-21,41.21247482299805
2024-11-22,41.52326583862305
2024-11-25,42.07891845703125
2024-11-26,42.28611373901367
2024-11-27,42.57806396484375
2024-11-29,42.38029098510742
2024-12-02,41.73987579345703
2024-12-03,41.49501419067383
2024-12-04,41.38199234008789
2024-12-05,41.27840042114258
2024-12-06,41.22189712524414
2024-12-09,41.30665588378906
2024-12-10,40.637996673583984
2024-12-11,40.53439712524414
2024-12-12,40.506134033203125
2024-12-13,40.33662033081055
2024-12-16,40.12942886352539
2024-12-17,39.95048522949219
